,Overall,Bib,Name,Time
0,1,1,Scott Wietecha,02:28:16
1,2,3,Garang Madut,02:29:52
2,3,33442,Kevin Fink,02:38:59
3,4,33441,Andrew Hodges,02:43:59
4,5,30028,Nicholas Aubert,02:48:11
5,6,30038,Dan Shafer,02:49:00
6,7,30099,Jacob Rainey,02:51:46
7,8,33712,Ry Glover,02:53:17
8,9,11,Stella Christoforou,02:53:44
9,10,30052,Tyler Hallenbeck,02:56:21
10,11,30057,Jansen Hein,02:56:23
11,12,33448,Christopher Harrington,02:56:48
12,13,30050,James Nabholz,02:57:03
13,14,30039,Jared Daedler,02:57:36
14,15,30096,Nicholas Tseffos,02:59:35
15,16,30107,Thomas Aliff,02:59:41
16,17,30040,Jeremy Riehm,03:01:41
17,18,30058,Greg Jones,03:02:12
18,19,30135,Jack Burger,03:02:17
19,20,30048,Edgar Garza,03:05:40
20,21,10,Heather Crowe,03:07:46
21,22,33452,Cristina Noble,03:08:21
22,23,30153,Dan Williams,03:09:33
23,24,30117,Eddie Bell,03:09:39
24,25,30395,Emanuel Loreant,03:10:23
0,26,30095,Jeffrey Olive,03:10:28
1,27,30211,Jacqueline Gottuso,03:10:50
2,28,30249,Eric Shrestha,03:11:27
3,29,30059,Brandon Foley,03:12:17
4,30,30131,Matthew Hunt,03:12:34
5,31,30281,Thomas Cirillo,03:12:37
6,32,30132,Shawn Husband,03:14:03
7,33,30129,Mudhillun Muqaribu,03:15:11
8,34,33449,Scott Eiselt,03:15:22
9,35,30069,Kevin Laury,03:15:33
10,36,33460,Mahlon Hellman,03:16:17
11,37,30399,Patrick Sweatt,03:16:32
12,38,30221,Michelle Fogle,03:17:44
13,39,30182,Tatsuki Koyama,03:18:24
14,40,33485,David Jones,03:18:26
15,40,30051,Aaron O'Keeffe,03:18:26
16,42,30227,Dalton Stubbs,03:18:31
17,43,30084,Andrew Morris,03:19:04
18,44,33472,Nick Pitts,03:19:05
19,45,30239,Michael Ibanez,03:19:15
20,46,30253,Katelyn Storey,03:19:26
21,47,33451,Kevin Walker,03:19:28
22,48,30064,Ubaldo Hurtado,03:19:58
23,49,30126,Vic Ciancetta,03:20:07
24,50,30164,Jay Mitchell,03:20:17
0,51,30329,Donald Paull,03:21:06
1,52,30183,Andrew Thai,03:21:15
2,53,30870,Tim Roetman,03:21:25
3,54,30103,Ayub Odera,03:21:35
4,55,30165,Ryan Folkert,03:21:53
5,56,30120,Sean Cooper,03:21:58
6,57,30123,Javier Rusinque,03:22:02
7,58,30063,Todd Reynolds,03:22:04
8,59,30187,Robert Harris,03:22:23
9,60,30217,John Willis,03:22:27
10,61,30497,Armando Galvez Rico,03:22:30
11,62,30179,Dj Salmon,03:22:43
12,63,30391,Kevin Harris,03:22:48
13,64,30175,Vincent Manier,03:23:18
14,65,30198,Alan Arpon,03:23:19
15,66,30252,Diego Ruiz,03:23:22
16,67,30667,Jeff Woody,03:23:27
17,68,30176,Matt Pesavento,03:23:44
18,69,33474,Gilbert Varela,03:23:46
19,70,30152,Sam Miller,03:24:21
20,71,30367,Andrew Kump,03:24:33
21,72,30580,Aly Schenavar,03:25:26
22,73,31026,Sonny Tufano,03:25:43
23,74,30140,Brian Wright,03:26:10
24,75,30385,James Lowe,03:26:15
0,76,33468,Samuel Smith,03:26:24
1,77,30236,Jonathan Lister,03:26:47
2,78,30208,Susie Aames,03:27:13
3,79,30528,Chris Norris,03:27:30
4,80,30201,Will Westhoff,03:27:42
5,81,30409,Matthew Pires,03:27:48
6,82,30092,Bradley Whitley,03:27:55
7,83,30251,Beau Baggett,03:28:27
8,84,30821,Steven Vargas,03:28:36
9,85,33651,Jeremy Lister,03:28:40
10,86,30316,Devin Ray,03:28:52
11,86,30608,Benjamin French,03:28:52
12,88,30439,Lydia Calahan,03:28:58
13,89,30326,Katherine Ainsworth,03:29:00
14,90,30378,Josh Leitner,03:29:07
15,91,30412,Leonardo Alonso Sánchez López,03:29:20
16,92,33476,Charles Sisk,03:29:49
17,93,30303,Tess Vorselen,03:29:58
18,94,30495,Craig Findlay,03:30:05
19,95,31053,Jillian Roberts,03:30:30
20,96,30181,Charles Shackelford,03:30:31
21,97,30216,Maura Stacey,03:30:36
22,98,30557,Carmen Camp,03:30:40
23,99,31022,Blake Phillips,03:30:43
24,100,33495,Grant Stubblefield,03:30:53
0,101,30512,Jennifer Murray,03:30:54
1,102,30163,Peter Shreffler,03:31:04
2,103,31240,Adam Klenk,03:31:05
3,103,30707,Ellen Williamson,03:31:05
4,105,31444,Kyle Young,03:31:28
5,106,30394,Jason Toot,03:31:50
6,107,30145,Eric Parker,03:32:07
7,108,32051,Alexandra Vincenti,03:32:09
8,109,30375,Dan Duffy,03:32:10
9,110,30434,Emma Locke,03:32:13
10,111,30203,Joe Wiltsey,03:32:26
11,112,30392,Patrick Madl,03:32:34
12,113,30254,Rachel Polk,03:32:37
13,114,30451,Carl Ostrowski,03:32:46
14,115,30411,Vicente Rodriguez,03:32:47
15,116,30623,Kayla Whitley,03:33:22
16,117,30406,Katie Schubauer,03:33:45
17,117,33715,Alia Karaman,03:33:45
18,119,30090,Brian Germano,03:33:50
19,120,30098,Edwin Reyes,03:33:52
20,121,33473,Mark Clyburn,03:33:58
21,122,33487,Brian Steel,03:34:37
22,123,30060,Tien Le,03:34:43
23,124,30356,Drew Belnick,03:34:55
24,125,30056,Kevin Mckenna,03:35:09
0,126,30174,Nicholas Avello,03:35:12
1,127,30247,Olivia Dibiasio,03:35:14
2,128,30502,Kristen Bednar,03:35:45
3,129,30157,Matthew Mehalko,03:35:49
4,130,30638,Garrett Bauman,03:35:52
5,131,30323,Brian Hoffart,03:35:55
6,132,30314,Trever Griswold,03:36:01
7,133,30704,Nicole Gillis,03:36:03
8,134,30207,Meredith Smith,03:36:09
9,135,30506,Wesley King,03:36:11
10,135,30381,Scott Wloszczynski,03:36:11
11,137,30590,Daniel Pluard,03:36:13
12,138,30210,Molly Cohen,03:36:16
13,138,30190,Ryan Kelch,03:36:16
14,140,30309,Beau Westpfahl,03:36:21
15,141,30222,Brad Barcusky,03:36:22
16,142,30484,Amanda Sonnenberg,03:36:28
17,143,30515,Bob Cline,03:36:29
18,144,30450,Danica Kusanovic,03:36:35
19,145,30603,Matt Rubino,03:36:53
20,146,30088,Vance Benson,03:36:54
21,147,30134,Alexander Mclain,03:36:58
22,148,30071,Kyle Miller,03:37:06
23,148,30427,Virgilio Larralde,03:37:06
24,150,30458,Julie Boll,03:37:09
0,151,30160,Bonnie Ritchotte,03:37:25
1,152,30141,Dwayne Novak,03:37:34
2,153,33517,Kurtis Kowalski,03:38:04
3,154,30186,Paul Carlson,03:38:16
4,155,33486,Benjamin Mccullough,03:38:46
5,156,30680,Erik Stephan,03:39:03
6,157,30750,Nathaniel Szidik,03:39:04
7,158,30336,William Moore,03:39:19
8,159,30233,Daryl Davis,03:39:33
9,160,30294,Lori Knights,03:39:44
10,161,30100,Dan Moffit,03:39:45
11,162,33514,Sean Meier,03:39:48
12,163,30301,Hunter Clarke,03:39:49
13,164,30605,Jacob Crowell,03:39:55
14,165,30758,Elliot Heath,03:40:13
15,166,30293,William Bradshaw,03:40:16
16,167,31065,Adele Unneberg,03:40:34
17,168,30498,Gabrielle Giessen,03:40:42
18,169,30662,Eric Ellwood,03:40:57
19,170,30468,Joan Dinsmore,03:40:58
20,171,30319,Ryan Velau,03:41:08
21,172,30433,Darrell Black,03:41:14
22,173,30658,Amy Hartlieb,03:41:19
23,174,30579,Scott Smith,03:41:24
24,175,30681,Stuart Mcdonald,03:41:30
0,176,30154,Joshua Knickerbocker,03:41:31
1,177,30080,Kyle Milden,03:41:37
2,178,30661,Jamie Cotter,03:41:44
3,179,30445,Jessica Scott,03:41:55
4,179,30522,Samantha Harrison,03:41:55
5,181,30362,Ryan Goldfine,03:42:17
6,181,33454,Alex Judd,03:42:17
7,183,33644,Christina Rivera,03:42:29
8,184,30317,Ben Mclusky,03:42:34
9,185,30471,Kathleen Bond,03:42:46
10,186,32122,Jeff Watson,03:42:53
11,187,30987,Brandon Bernhardt,03:42:57
12,188,30425,Emily Stewart,03:42:58
13,189,30223,Katie Van Arendonk,03:43:01
14,190,33489,Vance Poss,03:43:02
15,191,31001,John Denoma,03:43:09
16,192,31199,James Booth,03:43:33
17,193,30087,Paul Hanly,03:43:35
18,194,33458,Patrick Hogeboom,03:43:36
19,195,30578,Erin Glazier,03:43:48
20,196,30379,Grant Nicholson,03:43:51
21,197,33464,David Harvey,03:43:53
22,198,30449,Eduardo Pi,03:43:59
23,199,31388,Pablo Marchant,03:44:19
24,200,33471,Ron Chapman,03:44:26
0,201,30133,Colton Staab,03:44:31
1,202,30475,Jason Pettit,03:44:35
2,203,30300,Maria Jugan,03:44:41
3,204,33656,Matt Hawkins,03:44:53
4,205,31008,Steven Jones,03:44:55
5,206,30350,Marlon Quitos,03:44:57
6,207,30127,Kenneth Roberts,03:45:03
7,208,30699,Michael Hunt,03:45:04
8,209,30105,Nick Eccher,03:45:12
9,210,30641,Mark Davenport,03:45:16
10,211,30185,Lorena Jaime,03:45:18
11,212,30668,Pat Simmons,03:45:24
12,213,30460,Kevin Gerteisen,03:45:27
13,214,30390,Michael Obermayer,03:45:28
14,215,33550,Bennett Diaz,03:45:54
15,216,30305,Melissa Kuzma,03:46:01
16,217,30755,Morganne Cook,03:46:07
17,218,30150,Andy Casto-Waters,03:46:13
18,218,31235,Severine Mutti,03:46:13
19,220,31871,Holly Barrett,03:46:22
20,221,30168,Jesse Fenton,03:46:24
21,222,30053,Ian Gilchrist,03:46:43
