,Overall,Bib,Name,Time
22,223,30333,Andy Ross,03:46:47
23,224,30776,Stephen Bohn,03:46:49
24,225,30354,Claire Wilson,03:46:58
0,226,31181,Jacob Zalewski,03:47:07
1,227,30679,Julie Thibodeau,03:47:09
2,228,33475,Matthew Moshyedi,03:47:13
3,229,30440,Sebastian Schneider,03:47:29
4,230,30443,David Sanchez,03:47:35
5,231,31223,Joshua Gurka,03:47:38
6,232,31356,Ariel Phillips,03:47:49
7,233,30787,Brian Thomas,03:48:04
8,234,30615,Richard Hall,03:48:53
9,235,30622,Chappel Mccollister,03:48:54
10,236,30708,Nikki Roetman,03:49:01
11,237,30196,Jinhong Liu,03:49:09
12,238,31304,Olivia Overley,03:49:11
13,239,30657,Elynn Kann,03:49:19
14,240,30593,Grace Ouellette,03:49:21
15,241,30487,Scott Settle,03:49:35
16,242,30212,Anthony Gibson,03:50:07
17,243,30646,Meade Fogel,03:50:18
18,244,31310,Matthew Armstrong,03:50:28
19,245,32250,Justin Manry,03:50:31
20,246,33483,Todd Allen,03:50:34
21,247,30734,Muna Rodriguez,03:50:45
22,248,30794,Luke Tuttle,03:50:50
23,249,30363,Drew Prentice,03:50:51
24,250,30435,Clint Brosmer,03:50:58
0,251,30240,Tori Domico,03:51:06
1,252,33540,Karl Bailey,03:51:09
2,253,30428,Maeve Whelan-Wuest,03:51:23
3,254,30975,Mingfeng Bai,03:51:27
4,255,30503,Isabelle Mcleod,03:51:32
5,256,30629,Melissa Boothe,03:51:39
6,257,30202,Forrest Orme,03:51:48
7,258,33457,Robert Reagan,03:51:49
8,259,31191,Emily Tseffos,03:51:50
9,260,30709,Jim Sanders,03:52:01
10,261,30418,Evan Fortune,03:52:07
11,262,30237,Eric Johnson,03:52:21
12,263,30650,Scott Trousdale,03:52:35
13,264,33496,Christa John,03:52:39
14,265,30695,Landin Mathison,03:52:43
15,266,30189,Conor Kelch,03:52:48
16,267,30339,Diane Kenna,03:52:52
17,268,31209,Deanne Blas,03:53:08
18,269,30649,Casey Lowery,03:53:09
19,270,33465,Nikki Harvey,03:53:12
20,271,30041,Scott Porter,03:53:14
21,272,31029,Michele Marcus,03:53:15
22,273,33497,John Goodman,03:53:18
23,274,30887,Naomi Ryan,03:53:27
24,275,33455,Lauren Terrell,03:53:29
0,276,30756,Lon Rathmell,03:53:37
1,277,30366,Claire Fernandez,03:53:40
2,277,30469,Kate Lewis,03:53:40
3,279,33527,Joshua Collier,03:53:47
4,280,30835,Travis Johnson,03:53:49
5,281,30558,Alan Pettit,03:53:50
6,282,30436,Matt Windham,03:53:51
7,283,30218,Robert Reynolds,03:53:57
8,284,30672,Maria Hineline,03:54:08
9,285,30976,Phuong Thai,03:54:10
10,285,30518,Cody Lee,03:54:10
11,287,30173,Guido Chichierchia,03:54:17
12,288,31155,Lisa Donchak,03:54:23
13,288,30241,Rocco Henderson,03:54:23
14,290,33714,Alfred Tello,03:54:28
15,291,30302,Randolph Grant,03:54:47
16,292,31166,Joe Aaron,03:54:48
17,293,30299,Scott Huston,03:54:49
18,294,30193,Aaron Hawkins,03:55:07
19,295,30770,Phillip Kurchack,03:55:09
20,295,30393,Roderick Scott,03:55:09
21,297,30151,Jeff Furst,03:55:16
22,298,30762,Cristy Meining,03:55:29
23,299,30358,John Flint,03:55:30
24,300,31202,Jay Earich,03:55:31
0,301,30588,Kat Sattele,03:55:38
1,302,31306,Casey Gallaher,03:55:39
2,303,30438,Tracey Jackson,03:55:56
3,304,30691,Koon Wan,03:55:57
4,305,30177,John Jacobson,03:56:05
5,306,30636,Gregory Flanagan,03:56:10
6,307,30818,Jonathan Radwan,03:56:12
7,308,30742,Robert Villwock,03:56:15
8,308,31496,Tyler Woitkowski,03:56:15
9,308,31365,Nicholas Lazzara,03:56:15
10,311,30773,Mark Schmidt,03:56:24
11,312,31991,David O'Rourke,03:56:31
12,313,30781,Adam Lord,03:56:35
13,313,31122,Jerry Miller,03:56:35
14,315,30673,Tony Spake,03:56:44
15,316,30550,Jean Pierre Rostren,03:56:45
16,317,31014,Paul Hickey,03:56:47
17,318,30761,Magdaliene Deline,03:56:51
18,319,31156,Peter Schichtel,03:56:52
19,320,30684,Matthew Milam,03:56:57
20,321,30194,Ryan Davis,03:56:58
21,322,30898,Austin Brunhoeber,03:57:14
22,323,31507,Jessica O'Mahoney,03:57:15
23,324,30178,Matthew Pohorilak,03:57:19
24,325,31336,Brittney Duffy,03:57:25
0,325,30705,Greg Dunn,03:57:25
1,327,30517,Stefani Briere,03:57:32
2,327,33482,April Allen,03:57:32
3,329,30130,Sullivan Edwards,03:57:34
4,330,30225,Laura Romaine,03:57:36
5,331,30432,Megan Conroy,03:57:41
6,332,30312,Steven Meyer,03:57:50
7,333,30447,Andrea Starinsky,03:57:53
8,334,31158,Stephanie Gogots,03:57:57
9,335,31495,Kevin Murphy,03:57:59
10,336,31570,Hampton Lott,03:58:01
11,337,31518,Dorothy Butler,03:58:02
12,338,31735,Irene Hamm,03:58:05
13,339,31296,Ben Bass,03:58:09
14,340,30774,Christopher Wray,03:58:11
15,341,30448,Matthew Sebens,03:58:14
16,341,30386,Erin Zerth,03:58:14
17,343,31091,Aric Thorne,03:58:22
18,344,30800,Joshua Nelkin,03:58:25
19,345,31604,Landon Stubblefield,03:58:31
20,346,30396,Jamie Saunders,03:58:32
21,347,30640,Stacey Malcolmson,03:58:36
22,348,30969,Jered Haynor,03:58:38
23,349,33681,Barrett Holder,03:58:51
24,350,30598,Taylor Romine,03:58:54
0,351,30483,Steven Hubbard,03:58:59
1,352,31274,Spencer Blakely,03:59:01
2,353,31269,David Salge,03:59:04
3,354,31259,Sara Casciano,03:59:13
4,355,31033,Miriam Gutman,03:59:19
5,356,30771,Kathleen Fusco,03:59:22
6,357,31850,Andrea Perreault,03:59:27
7,358,30759,Kristin Gamble,03:59:32
8,359,30612,Greg Beckerle,03:59:33
9,360,30628,Anthony Steele,03:59:37
10,361,30308,Amy Eddy,03:59:39
11,362,31936,Carl Adams,03:59:44
12,363,31307,Sam Hughes,03:59:53
13,364,30694,Brett Fetter,03:59:59
14,364,31660,Tyler Dixon,03:59:59
15,366,32444,Stormy Speaks,04:00:02
16,367,30486,David Taylor,04:00:06
17,368,31289,Koji Kawabata,04:00:14
18,369,30749,Tony Wolniakowski,04:00:15
19,370,30479,Andy Nye,04:00:16
20,371,31453,Tanya Ratcliff,04:00:17
21,371,31454,Jordan Diegmueller,04:00:17
22,373,31837,Jyssica Miller,04:00:21
23,374,30511,Gustavo Mendez,04:00:25
24,375,30601,Justin Allen,04:00:27
0,376,30823,Brandi Nowicki,04:00:39
1,377,30715,Kenny Johnson,04:00:44
2,378,31929,Peter Davis,04:00:47
3,379,30491,Jared Kincaid,04:01:00
4,380,31548,Gregory Pape,04:01:19
5,381,30890,Fernando Marquez,04:01:20
6,382,30744,Joseph White,04:01:24
7,383,31027,John Brechbill,04:01:28
8,383,30307,Jake Cronin,04:01:28
9,385,30617,Greg Walker,04:01:41
10,386,33522,Kiyoka Panichvatana,04:01:43
11,386,30836,Tamara Kasper,04:01:43
12,388,30337,Alejandro Burgos,04:01:49
13,389,30627,Yanni Lambropoulos,04:02:00
14,390,32107,Alexander Guerrero,04:02:05
15,391,31151,Danielle Cosco,04:02:10
16,392,30594,Tara Bailes,04:02:21
17,393,31054,Megan Cohan,04:02:22
18,394,31253,Clayton Phillips,04:02:24
19,395,30831,Allison Taylor,04:02:26
20,396,31333,Matt Walberg,04:02:29
21,397,30470,Laura Dowek,04:02:33
22,398,30740,Matias Weikert,04:02:37
23,399,30727,Chris Fox,04:02:49
24,399,33515,Jeffrey Bliss,04:02:49
0,399,31138,Rosie Arellano,04:02:49
1,402,30769,Maria Dean,04:03:17
2,403,32113,Jennifer Gehrin,04:03:22
3,404,30807,Trisha Armstrong,04:03:23
4,405,30318,Robbie Berger,04:03:24
5,406,31359,Nick Marshall,04:03:26
6,407,30341,Chris Riser,04:03:27
7,408,30232,William Horn,04:03:30
8,409,31589,Gary Shelnutt,04:03:38
9,410,30767,Brendan Knoblauch,04:03:42
10,411,30560,Paul Bradbury,04:03:45
11,412,30846,Gary Nichol,04:03:56
12,413,30296,Chris Schuer,04:03:58
13,413,31110,Katie Johnson,04:03:58
14,415,30798,Clee Malfitano,04:04:03
15,416,30674,Gisella Pere,04:04:12
16,417,31120,Jason Cook,04:04:17
17,418,30146,Chad Carpenter,04:04:19
18,419,33600,Elizabeth Messineo,04:04:28
19,420,30711,Aimee Heckman,04:04:34
20,421,30119,Patricio Hidalgo,04:04:37
21,422,30397,Dean Martin,04:04:54
22,423,31560,Haley Kesterson,04:05:02
23,424,31106,Jeffrey Johnson,04:05:09
24,425,33510,Tyler Younghouse,04:05:21
0,425,31352,Brady Watson,04:05:21
1,427,31464,Philip Leisy,04:05:36
2,427,31943,Richard Vestal,04:05:36
3,429,30977,Robert Allen,04:05:49
4,430,31434,Natascha Leitner,04:05:53
5,431,31999,Jeremy Johnson,04:05:54
6,432,31353,Brian Donaldson,04:06:00
7,432,31876,Arthi Krishnan,04:06:00
8,434,31143,Brad Andis,04:06:04
9,435,31218,John Winborn,04:06:12
10,436,31373,Darcie Brodsky,04:06:41
11,437,31562,Meggie Komar,04:06:49
12,438,31423,Anthony Rosso,04:06:53
13,439,30104,Kelsey Otten,04:07:02
14,440,30956,Mandy Grimshaw,04:07:05
15,441,31389,Firmo Demelo,04:07:06
16,441,30500,Erin Willis,04:07:06
17,443,30184,Taylor Christiansen,04:07:12
18,444,33494,Michael Crosby,04:07:13
19,445,30900,Amanda Binkley,04:07:22
20,446,30476,Katarina Von Lehmden,04:07:32
21,447,30581,Lorelei Raymundo,04:07:33
22,448,30504,Kyle Moritz,04:07:34
23,449,31297,Terese Grondin,04:07:35
24,450,31169,Mark Reyes,04:07:38
0,451,31438,Renee Gould,04:07:52
1,452,31420,Sean Baum,04:08:03
2,453,31262,Chad Appleton,04:08:04
3,454,33669,Jessie Lynch,04:08:09
4,455,31300,Megan Jepson,04:08:10
5,456,31584,Wendy Dunevant,04:08:18
6,457,33645,Stefanie Garrity,04:08:24
7,458,30702,Grant Donath,04:08:36
8,459,30609,Hannah Mincey,04:08:37
9,460,31413,Rachel Hartman,04:08:52
10,461,30508,Tsutomu Takeda,04:09:16
11,462,32109,Jessica Salgado,04:09:18
12,463,31220,Alexander Shinar,04:09:23
13,464,30523,Elena Harmon,04:09:25
14,465,30757,Cody Seely,04:09:32
15,466,30971,Lindsay Harroff,04:10:01
16,467,30733,Trent Fordham,04:10:02
17,467,31940,Alexander Jackson,04:10:02
18,469,33502,Timothy Lewendon,04:10:03
19,470,30652,Phillip Durity,04:10:07
20,470,31920,Sean Courser,04:10:07
21,470,30344,Priya Pappu,04:10:07
22,473,31140,Kelsey Guglielmi,04:10:08
23,474,30689,Micah Clemons,04:10:11
24,475,31064,Gilbert Quioan,04:10:13
0,475,31175,Alaina Buchwald,04:10:13
1,477,33504,Allison Morris,04:10:22
2,478,30718,Jesse Riley,04:10:23
3,479,31217,Steven Sinclair,04:10:26
4,480,33350,Christopher Romanoski,04:10:27
5,481,30743,Jennifer Gurski,04:10:33
6,482,33490,Jason Haas,04:10:37
7,483,30748,Hoa Schober,04:10:48
8,483,30751,Michael Pangallo,04:10:48
9,485,32111,Monica Marcela Canas,04:10:50
10,486,30909,Araminta Ray,04:10:52
11,486,33446,Mackenzie Dysinger,04:10:52
12,488,30407,Wes Denney,04:10:54
13,488,30481,Cayla Pusey,04:10:54
14,490,33684,Matthew Farrell,04:10:58
15,491,32046,Adam Goodman,04:11:03
16,492,30332,Coral Wiebe,04:11:05
17,493,30257,Soren Wakelin,04:11:06
18,494,30955,Brian Suh,04:11:07
19,495,30231,Larry Brittan,04:11:08
20,496,33535,Skylar Dejesus,04:11:10
21,496,31461,Addison Britton,04:11:10
22,498,30566,Alyssa Morrison,04:11:12
23,499,30526,Julia Norton,04:11:16
24,500,31448,Nikki Calkins,04:11:23
0,500,33706,Aine Corridon,04:11:23
1,502,31078,Ryan Monteleone,04:11:33
2,502,31649,Abbey Head,04:11:33
3,504,33560,Ben Rosa,04:11:39
4,505,31409,Michelle Pernat,04:11:40
5,505,31547,Brian Furao,04:11:40
6,507,30496,Scott Siersma,04:11:41
7,508,30814,Timothy Petro Sr,04:11:42
8,509,30335,Justin Bryan,04:11:49
9,510,30692,Mary Costello,04:11:59
10,510,30778,W. Daniel Costello Jr.,04:11:59
11,512,32103,Adam Hodges,04:12:01
12,513,33478,J.C. Anderson,04:12:02
13,514,30275,David Cornell,04:12:05
14,515,32066,Ariana Vaisey,04:12:07
15,516,32232,Sarah Graves,04:12:18
16,517,31270,John Edwards,04:12:22
17,518,30330,Brian Tober,04:12:24
18,519,31210,Mathias Mortenson,04:12:25
19,520,31292,Jason Alaniz,04:12:27
20,521,31988,Rebekah Good,04:12:34
21,522,31044,Tim Mittan,04:12:49
22,523,33481,Hannah Burnette,04:12:50
23,524,33143,Nathan Alley,04:12:52
24,525,30169,Eric Lozick,04:12:53
0,526,30263,Ahmad Alammuri,04:12:54
1,527,30574,Sherry Vansant,04:12:55
2,528,33459,Israel Sandoval,04:12:57
3,529,30543,Nicole Piquero,04:13:03
4,530,30279,Jasser Mahmoud,04:13:05
5,531,30986,Quinn Williams,04:13:16
6,532,30669,Solomon Jeong,04:13:24
7,533,33674,Timothy Phillips,04:13:25
8,534,30276,Emily Cornell,04:13:28
9,535,31439,Sandra Therrien,04:13:38
10,536,30775,Kristin Nelson,04:13:46
11,537,30940,Chad Mckissick,04:13:52
12,538,31581,Joshua Green,04:13:59
13,539,33648,Cami Holland,04:14:03
14,540,32570,Sophia Guzzo,04:14:05
15,541,31556,Brittany Morrow,04:14:07
16,542,30101,Emerson Smith,04:14:08
17,543,32006,Megan Wilkins,04:14:10
18,544,32097,Bailey Davidson,04:14:15
19,545,32012,Kaitlyn Jones,04:14:16
20,546,30725,Paul Bergman,04:14:23
21,547,30714,Adam Stadel,04:14:24
22,548,31597,Joao Pagan,04:14:27
23,549,33467,Brooke Groff,04:14:29
24,550,30215,Donald Stover,04:14:43
0,551,30572,Christine Altrock,04:14:52
1,551,31539,Mia Pecora,04:14:52
2,553,31490,Koriann Lance,04:14:54
3,554,31640,Kelsa Debrabant,04:14:56
4,554,30355,Donald Hilton,04:14:56
5,556,33513,Nick Bussell,04:15:17
6,557,31211,Nick Hagemeier,04:15:23
7,557,31910,Michael Averill,04:15:23
8,557,31212,Molly Hagemeier,04:15:23
9,560,33524,Stephen Reed,04:15:32
10,561,31150,Racheal Ballard,04:15:35
11,562,31857,Greg Kampman,04:15:37
12,563,30944,Heini Tallent,04:15:39
13,564,31410,Amy Rollins,04:15:55
14,565,30943,Travis Lanier,04:16:06
15,566,31478,Andre' Page,04:16:08
16,566,31753,Eric Yeats,04:16:08
17,568,30370,Benjamin Weber,04:16:10
18,569,30806,Mari Woodton,04:16:26
19,570,32186,Bethany Heaman,04:16:31
20,571,30400,Abbie Nelson,04:16:37
21,572,30592,Dusty Brown,04:16:43
22,573,31160,Anne Grumbine,04:16:46
23,574,30083,Cheko Waters,04:16:47
24,574,31144,Samuel Baker,04:16:47
0,576,31042,Christopher Wiggs,04:16:49
1,577,30295,Megan Sunderland,04:16:57
2,578,31816,Allie Townshend Peña,04:17:07
3,579,31565,Toby Jenkins,04:17:09
4,580,32249,Michelle Sackman,04:17:12
5,580,32201,Nathan Cross,04:17:12
6,582,31609,Patricia Amorado,04:17:13
7,583,31229,Zack Box,04:17:18
8,584,30728,Jennifer Barden,04:17:24
9,585,31215,Joshua Denney,04:17:26
10,586,30826,Kenneth Schafer,04:17:29
11,586,31358,Miles Snelgrove,04:17:29
12,588,30786,Brittany Fruin,04:17:30
13,589,31661,Enrique Lopez,04:17:35
14,590,30903,Ryan Kelly,04:17:39
15,591,30838,Alyssa Esber,04:17:40
16,591,31954,Derek Thiele,04:17:40
17,593,31089,Whitney Mitchell,04:18:02
18,594,31271,Kristy Amerson,04:18:08
19,595,30811,Heather Sims,04:18:10
20,596,31436,Jacob Fischer,04:18:11
21,597,31656,Lindsey Urish,04:18:21
22,598,30954,Kristina Smithe,04:18:26
23,599,32144,Meghan Gallagher,04:18:33
24,600,30488,Kelly Farrow,04:18:36
0,600,30489,Steve Farrow,04:18:36
1,600,30097,[email protected] Delozier,04:18:36
2,603,33492,Victor Kunze,04:18:40
3,603,31285,Michael Mau,04:18:40
4,605,30685,Carlos Mancilla,04:18:43
5,606,31294,Creighton Kellum,04:18:52
6,607,31225,Marlene O'Laney,04:18:55
7,608,31652,Jennifer Leeper,04:19:02
8,609,32456,Brenda Brawley,04:19:06
9,610,31207,Patrick Corley,04:19:12
10,611,30625,Joe Sernett,04:19:15
11,612,30473,Christopher Gworek,04:19:19
12,613,31561,Kristin Shaffer,04:19:27
13,614,31852,Stephanie Sigmond,04:19:30
14,614,31095,Lorin Shimonek,04:19:30
15,616,30731,Brenna Lakeson,04:19:42
16,617,33637,Mauricio Sotelo,04:19:47
17,617,33613,Donald Lipper,04:19:47
18,619,31977,Jake Estienne,04:20:04
19,620,32892,Lottie Barton,04:20:22
20,621,30990,Emily White,04:20:28
21,622,33646,Deborah Gilligan,04:20:30
22,622,30505,Eric Kingara,04:20:30
23,624,31976,Jessica Wheeler,04:20:38
24,625,30421,Megan Sykes,04:20:42
0,625,31383,Ignacio Alvarado,04:20:42
1,627,30573,Lisa Prevedel,04:20:49
2,628,33536,Shane Schroeder,04:20:51
3,629,31765,Stephanie Unekis,04:20:52
4,630,31875,Olivia Bock,04:20:54
5,631,30611,Chris Bain,04:20:56
6,632,33719,James Marchesani,04:21:00
7,633,33531,Morgan Lawler,04:21:01
8,633,33477,Jed Henry,04:21:01
9,635,30768,Bethany Mills,04:21:03
10,636,31372,Cecilia Arango,04:21:04
11,637,31196,Angie Rieger,04:21:09
12,638,33575,Jeffrey Hodge,04:21:18
13,639,30345,Christopher Sexton,04:21:30
14,640,31246,Michael Bauman,04:21:33
15,641,30793,Chad Crawley,04:21:41
16,642,30464,Matt Southcott,04:21:46
17,643,31111,Taylor Hidalgo,04:21:50
18,644,32536,Michael Schiebout,04:21:54
